,Player_ID,GAME_DATE,MIN,REB,FGA,DAYS_REST
504,201939,2013-01-13,41,0,18,-6
505,201939,2013-01-11,44,3,22,-2
506,201939,2013-01-09,41,4,22,-2
507,201939,2013-01-05,29,0,11,-4
508,201939,2013-01-02,43,6,16,-3
509,201939,2012-12-29,35,4,13,-4
510,201939,2012-12-28,39,5,11,-1
511,201939,2012-12-26,38,8,18,-2
512,201939,2012-12-22,45,8,23,-4
513,201939,2012-12-21,36,3,17,-1
514,201939,2012-12-19,42,6,24,-2
515,201939,2012-12-18,39,5,13,-1
516,201939,2012-12-15,36,8,20,-3
517,201939,2012-12-14,43,3,19,-1
518,201939,2012-12-12,42,3,10,-2
519,201939,2012-12-10,37,7,22,-2
520,201939,2012-12-08,35,3,15,-2
521,201939,2012-12-07,43,4,19,-1
522,201939,2012-12-05,37,3,15,-2
523,201939,2012-12-03,44,5,21,-2
524,201939,2012-12-01,37,1,14,-2
525,201939,2012-11-29,45,4,17,-2
526,201939,2012-11-24,39,2,19,-5
527,201939,2012-11-23,26,1,5,-1
528,201939,2012-11-21,42,6,13,-2
529,201939,2012-11-19,43,6,21,-2
530,201939,2012-11-18,33,2,17,-1
531,201939,2012-11-16,29,4,12,-2
532,201939,2012-11-14,33,1,12,-2
533,201939,2012-11-10,37,5,17,-4
534,201939,2012-11-09,30,3,16,-1
535,201939,2012-11-07,36,5,14,-2
536,201939,2012-11-05,39,6,15,-2
537,201939,2012-11-03,43,4,16,-2
538,201939,2012-11-02,43,5,20,-1
539,201939,2012-10-31,30,7,14,-2
540,101145,2013-04-17,11,0,3,0
541,101145,2013-04-15,36,2,25,-2
542,101145,2013-04-13,30,3,18,-2
543,101145,2013-04-12,44,8,23,-1
544,101145,2013-04-10,47,7,27,-2
545,101145,2013-04-09,28,4,8,-1
546,101145,2013-04-06,39,4,14,-3
547,101145,2013-04-05,32,0,13,-1
548,101145,2013-04-03,39,5,20,-2
549,101145,2013-04-01,41,4,14,-2
550,101145,2013-03-30,39,2,17,-2
551,101145,2013-03-28,36,7,16,-2
552,101145,2013-03-27,42,0,21,-1
553,101145,2013-03-24,39,4,15,-3
554,101145,2013-03-22,37,3,22,-2
555,101145,2013-03-20,40,1,14,-2
556,101145,2013-03-19,44,9,18,-1
557,101145,2013-03-17,40,6,22,-2
558,101145,2013-03-15,34,3,11,-2
559,101145,2013-03-13,43,4,19,-2
560,101145,2013-03-12,41,2,24,-1
561,101145,2013-03-10,42,4,24,-2
562,101145,2013-03-09,36,5,19,-1
563,101145,2013-03-06,35,2,15,-3
564,101145,2013-03-04,44,4,21,-2
565,101145,2013-03-02,38,5,18,-2
566,101145,2013-02-27,45,6,24,-3
567,101145,2013-02-26,44,3,17,-1
568,101145,2013-02-23,44,4,15,-3
569,101145,2013-02-20,40,4,15,-3
570,101145,2013-02-19,49,8,18,-1
571,101145,2013-02-13,46,4,24,-6
572,101145,2013-02-11,43,7,21,-2
573,101145,2013-02-09,38,2,9,-2
574,101145,2013-02-06,33,3,9,-3
575,101145,2013-02-05,42,6,21,-1
576,101145,2013-02-02,44,4,16,-3
577,101145,2013-02-01,37,5,20,-1
578,101145,2013-01-30,38,3,12,-2
579,101145,2013-01-29,34,4,14,-1
580,101145,2013-01-26,38,4,20,-3
581,101145,2013-01-25,42,6,20,-1
582,101145,2013-01-22,44,5,10,-3
583,101145,2013-01-19,34,5,15,-3
584,101145,2013-01-17,34,4,20,-2
585,101145,2013-01-15,31,6,16,-2
586,101145,2013-01-13,34,1,17,-2
587,101145,2013-01-11,27,4,12,-2
588,101145,2013-01-09,40,5,14,-2
589,101145,2013-01-08,40,3,19,-1
590,101145,2013-01-05,36,4,19,-3
591,101145,2013-01-04,31,2,19,-1
592,101145,2013-01-02,39,1,18,-2
593,101145,2012-12-30,42,4,22,-3
594,101145,2012-12-29,36,3,18,-1
595,101145,2012-12-26,37,6,14,-3
596,101145,2012-12-22,39,2,27,-4
597,101145,2012-12-21,41,7,21,-1
598,101145,2012-12-19,34,2,14,-2
599,101145,2012-12-18,40,2,23,-1
600,101145,2012-12-15,32,3,14,-3
601,101145,2012-12-14,40,6,24,-1
602,101145,2012-12-12,41,8,17,-2
603,101145,2012-12-09,41,2,13,-3
604,101145,2012-12-07,31,4,11,-2
605,101145,2012-12-05,38,7,19,-2
606,101145,2012-12-03,35,3,12,-2
607,101145,2012-12-01,40,4,20,-2
608,101145,2012-11-30,36,2,22,-1
609,101145,2012-11-28,27,2,11,-2
610,101145,2012-11-26,26,1,10,-2
611,101145,2012-11-24,36,6,17,-2
612,101145,2012-11-21,39,1,16,-3
613,101145,2012-11-19,42,3,28,-2
614,101145,2012-11-17,34,3,16,-2
615,101145,2012-11-14,28,3,15,-3
616,101145,2012-11-12,38,5,20,-2
617,101145,2012-11-10,38,2,24,-2
618,101145,2012-11-09,32,5,15,-1
619,101145,2012-11-07,36,4,18,-2
620,101145,2012-11-03,36,2,20,-4
621,101145,2012-11-02,37,3,20,-1
622,203081,2013-04-17,38,1,13,0
623,203081,2013-04-16,40,3,12,-1
624,203081,2013-04-14,40,5,17,-2
