
1/17/13,Heat,,Jarvis Varnado,placed on IL
1/17/13,Heat,Dexter Pittman,,activated from IL
1/17/13,Knicks,,Marcus Camby,placed on IL with strained plantar fascia in left foot
1/17/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/17/13,Knicks,Iman Shumpert,,activated from IL
1/17/13,Pistons,,Khris Middleton,placed on IL
1/17/13,Pistons,,Kim English,placed on IL
1/17/13,Pistons,Corey Maggette,,activated from IL
1/17/13,Pistons,Viacheslav Kravstov ,,activated from IL
1/17/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/17/13,Timberwolves,,Malcom Lee,recovering from surgery on right knee and right hip
1/18/13,76ers,,Kwame Brown,sinus infection (DTD)
1/18/13,Celtics,,Avery Bradley,bruised ribs (DNP)
1/18/13,Grizzlies,,Zach Randolph,strained lower back (DNP)
1/18/13,Hawks,,Al Horford,left hamstring injury (DNP)
1/18/13,Hawks,,DeShawn Stevenson,sore right knee (DNP)
1/18/13,Pacers,,Gerald Green ,illness (DNP)
1/19/13,Blazers,,Sasha Pavlovic,placed on IL
1/19/13,Blazers,Meyers Leonard,,activated from IL
1/19/13,Bulls,,Luol Deng,strained right hamstring (DNP)
1/19/13,Hawks,,Lou Williams,placed on IL with torn ACL in right knee (out for season)
1/19/13,Hawks,Anthony Morrow,,activated from IL
1/19/13,Hornets,,Brian Roberts,sprained left ankle (DNP)
1/19/13,Spurs,,Tim Duncan,rest (DNP)
1/19/13,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/19/13,Timberwolves,,Dante Cunningham,illness (DNP)
1/19/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/19/13,Timberwolves,,Malcom Lee,placed on IL recovering from surgery on right knee and right hip (out for season)
1/19/13,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/19/13,Warriors,,David Lee,sprained left ankle (DNP)
1/20/13,Mavericks,,Rodrigue Beaubois,placed on IL
1/20/13,Mavericks,Dominique Jones,,activated from IL
1/20/13,Pistons,,Viacheslav Kravstov ,placed on IL
1/20/13,Pistons,Kim English,,activated from IL
1/20/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/21/13,76ers,,Jason Richardson,left knee synovitis (DNP)
1/21/13,Bulls,,Luol Deng,strained right hamstring (DNP)
1/21/13,Cavaliers,,Anderson Varejao,blood clot in right lung (out for season)
1/21/13,Hawks,,Anthony Morrow,placed on IL
1/21/13,Hawks,,Devin Harris,sprained left ankle (DNP)
1/21/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/21/13,Nets,,Tyshawn Taylor,placed on IL
1/21/13,Nets,Jerry Stackhouse,,activated from IL (P)
1/21/13,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/21/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/21/13,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/22/13,76ers,,Jason Richardson,left knee synovitis (DNP)
1/22/13,Bucks,,Doron Lamb,ankle injury (DTD)
1/22/13,Bucks,,Marquis Daniels,placed on IL with illness
1/22/13,Bucks,Joel Przybilla,,activated from IL
1/22/13,Cavaliers,,C.J. Miles,illness (DNP)
1/22/13,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/22/13,Magic,,Hedo Turkoglu,placed on IL
1/22/13,Magic,Gustavo Ayon,,activated from IL
1/22/13,Thunder,,Jeremy Lamb,placed on IL with back injury
1/23/13,Grizzlies,,Jon Leuer,placed on IL
1/23/13,Grizzlies,Quincy Pondexter,,activated from IL (P)
1/23/13,Hawks,,Al Horford,sore left calf (P) / hamstring (CBC) (DNP)
1/23/13,Hawks,,Devin Harris,sprained left ankle (DNP)
1/23/13,Hawks,,Zaza Pachulia,sore right Achilles tendon (DNP)
1/23/13,Lakers,,Jordan Hill,"surgery on left hip to remove loose fragments, repair a torn labrum, and microfracture to repair damaged cartilage (out indefinitely)"
1/23/13,Spurs,,Kawhi Leonard,placed on IL with left knee injury
1/23/13,Spurs,,Tim Duncan,rest (DTD)
1/23/13,Spurs,Manu Ginobili,,activated from IL
1/23/13,Suns,,Jermaine O'Neal,placed on IL
1/23/13,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/23/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/23/13,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/24/13,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/24/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/25/13,Bulls,,Luol Deng,strained right hamstring (DNP)
1/25/13,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
1/25/13,Grizzlies,Jon Leuer,,activated from IL
1/25/13,Mavericks,,Dominique Jones,placed on IL
1/25/13,Mavericks,Rodrigue Beaubois,,activated from IL
1/25/13,Spurs,Kawhi Leonard,,activated from IL
1/25/13,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/25/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/25/13,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/26/13,76ers,,Jason Richardson,left knee synovitis (DNP)
1/26/13,Bucks,,Joel Przybilla,placed on IL
1/26/13,Bucks,Marquis Daniels,,activated from IL
1/26/13,Bulls,,Luol Deng,strained right hamstring (DNP)
1/26/13,Cavaliers,,Luke Walton,sore left foot/ankle (DNP)
1/26/13,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/26/13,Knicks,,Rasheed Wallace,placed on IL with fractured left foot
1/26/13,Knicks,Raymond Felton,,activated from IL
1/26/13,Pacers,,Gerald Green ,placed on IL with illness
1/26/13,Pacers,Miles Plumlee,,activated from IL
1/26/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/26/13,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
1/26/13,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
1/26/13,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
1/27/13,Blazers,,Jared Jeffries,placed on IL with hip injury
1/27/13,Blazers,Sasha Pavlovic,,activated from IL
1/27/13,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
1/27/13,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/27/13,Grizzlies,,Quincy Pondexter,placed on IL with sprained MCL in left knee
1/27/13,Pistons,,Rodney Stuckey,placed on IL
1/27/13,Pistons,Khris Middleton,,activated from IL
1/28/13,76ers,,Jason Richardson,left knee synovitis (DNP)
1/28/13,76ers,Kwame Brown,,returned to lineup
1/28/13,Grizzlies,,Mike Conley Jr.,sprained left ankle (DNP)
1/28/13,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
1/28/13,Magic,,Arron Afflalo,placed on IL with strained left calf
1/28/13,Magic,Hedo Turkoglu,,activated from IL
1/28/13,Nets,,Tornike Shengelia,concussion (out indefinitely)
1/28/13,Nuggets,,JaVale McGee,placed on IL with sore left shin
1/28/13,Nuggets,,Wilson Chandler,strained groin (DNP) (CBC P)
1/28/13,Nuggets,Julyan Stone,,activated from IL (P)
1/28/13,Pacers,Gerald Green ,,activated from IL
